,State Name,county Name,AQI,Date,Category,Defining Parameter,date_code,Week,max_aqi
10321,Arizona,Santa Cruz,165,2020-01-01,Unhealthy,PM2.5,202001,1,165
10332,Arizona,Santa Cruz,87,2020-01-12,Moderate,PM2.5,202002,2,87
10333,Arizona,Santa Cruz,63,2020-01-13,Moderate,PM2.5,202003,3,63
10335,Arizona,Santa Cruz,63,2020-01-15,Moderate,PM10,202003,3,63
10346,Arizona,Santa Cruz,66,2020-01-26,Moderate,PM2.5,202004,4,66
10353,Arizona,Santa Cruz,73,2020-02-02,Moderate,PM2.5,202005,5,73
10359,Arizona,Santa Cruz,62,2020-02-08,Moderate,PM2.5,202006,6,62
10367,Arizona,Santa Cruz,67,2020-02-16,Moderate,PM2.5,202007,7,67
10369,Arizona,Santa Cruz,52,2020-02-18,Moderate,PM10,202008,8,52
10370,Arizona,Santa Cruz,52,2020-02-19,Moderate,PM10,202008,8,52
10379,Arizona,Santa Cruz,48,2020-02-28,Good,PM10,202009,9,48
10402,Arizona,Santa Cruz,51,2020-03-22,Moderate,PM2.5,202012,12,51
10436,Arizona,Santa Cruz,49,2020-04-25,Good,PM10,202017,17,49
10441,Arizona,Santa Cruz,45,2020-04-30,Good,PM10,202018,18,45
10473,Arizona,Santa Cruz,44,2020-06-04,Good,PM10,202023,23,44
10480,Arizona,Santa Cruz,46,2020-06-11,Good,PM10,202024,24,46
10490,Arizona,Santa Cruz,32,2020-06-21,Good,PM10,202025,25,32
10492,Arizona,Santa Cruz,53,2020-06-23,Moderate,PM2.5,202026,26,53
10517,Arizona,Santa Cruz,41,2020-07-18,Good,PM10,202029,29,41
10524,Arizona,Santa Cruz,33,2020-07-25,Good,PM10,202030,30,33
10527,Arizona,Santa Cruz,27,2020-07-28,Good,PM10,202031,31,27
10529,Arizona,Santa Cruz,27,2020-07-30,Good,PM10,202031,31,27
10536,Arizona,Santa Cruz,36,2020-08-06,Good,PM10,202032,32,36
10588,Arizona,Santa Cruz,81,2020-09-27,Moderate,PM2.5,202039,39,81
10597,Arizona,Santa Cruz,75,2020-10-06,Moderate,PM2.5,202041,41,75
10606,Arizona,Santa Cruz,71,2020-10-15,Moderate,PM10,202042,42,71
10611,Arizona,Santa Cruz,80,2020-10-20,Moderate,PM10,202043,43,80
10622,Arizona,Santa Cruz,98,2020-10-31,Moderate,PM10,202044,44,98
10624,Arizona,Santa Cruz,52,2020-11-02,Moderate,PM10,202045,45,52
10631,Arizona,Santa Cruz,71,2020-11-12,Moderate,PM2.5,202046,46,71
10639,Arizona,Santa Cruz,74,2020-11-20,Moderate,PM10,202047,47,74
10648,Arizona,Santa Cruz,87,2020-11-29,Moderate,PM2.5,202048,48,87
10655,Arizona,Santa Cruz,112,2020-12-06,Unhealthy for Sensitive Groups,PM2.5,202049,49,112
10660,Arizona,Santa Cruz,78,2020-12-11,Moderate,PM2.5,202050,50,78
10661,Arizona,Santa Cruz,78,2020-12-12,Moderate,PM2.5,202050,50,78
10669,Arizona,Santa Cruz,100,2020-12-20,Moderate,PM2.5,202051,51,100
10674,Arizona,Santa Cruz,122,2020-12-25,Unhealthy for Sensitive Groups,PM2.5,202052,52,122
10680,Arizona,Santa Cruz,130,2020-12-31,Unhealthy for Sensitive Groups,PM2.5,202053,53,130
11683,Arkansas,Clark,67,2020-03-05,Moderate,Ozone,202010,10,67
14148,California,Alameda,74,2020-01-03,Moderate,PM2.5,202001,1,74
14152,California,Alameda,49,2020-01-07,Good,PM2.5,202002,2,49
14162,California,Alameda,42,2020-01-17,Good,NO2,202003,3,42
14163,California,Alameda,42,2020-01-18,Good,PM2.5,202003,3,42
14165,California,Alameda,60,2020-01-20,Moderate,PM2.5,202004,4,60
14177,California,Alameda,66,2020-02-01,Moderate,PM2.5,202005,5,66
14183,California,Alameda,56,2020-02-07,Moderate,PM2.5,202006,6,56
14191,California,Alameda,54,2020-02-15,Moderate,PM2.5,202007,7,54
14197,California,Alameda,56,2020-02-21,Moderate,PM2.5,202008,8,56
14203,California,Alameda,56,2020-02-27,Moderate,PM2.5,202009,9,56
14209,California,Alameda,52,2020-03-04,Moderate,PM2.5,202010,10,52
14210,California,Alameda,52,2020-03-05,Moderate,PM2.5,202010,10,52
14218,California,Alameda,55,2020-03-13,Moderate,PM2.5,202011,11,55
14221,California,Alameda,38,2020-03-16,Good,Ozone,202012,12,38
14226,California,Alameda,38,2020-03-21,Good,Ozone,202012,12,38
14227,California,Alameda,38,2020-03-22,Good,Ozone,202012,12,38
14232,California,Alameda,46,2020-03-27,Good,Ozone,202013,13,46
14237,California,Alameda,37,2020-04-01,Good,Ozone,202014,14,37
14248,California,Alameda,52,2020-04-12,Moderate,PM2.5,202015,15,52
14249,California,Alameda,53,2020-04-13,Moderate,PM2.5,202016,16,53
14260,California,Alameda,52,2020-04-24,Moderate,PM2.5,202017,17,52
14267,California,Alameda,46,2020-05-01,Good,Ozone,202018,18,46
14274,California,Alameda,93,2020-05-08,Moderate,Ozone,202019,19,93
14277,California,Alameda,42,2020-05-11,Good,Ozone,202020,20,42
14290,California,Alameda,55,2020-05-24,Moderate,PM2.5,202021,21,55
14292,California,Alameda,58,2020-05-26,Moderate,Ozone,202022,22,58
14300,California,Alameda,71,2020-06-03,Moderate,Ozone,202023,23,71
14306,California,Alameda,44,2020-06-09,Good,Ozone,202024,24,44
14315,California,Alameda,61,2020-06-18,Moderate,PM2.5,202025,25,61
14325,California,Alameda,56,2020-06-28,Moderate,PM2.5,202026,26,56
14331,California,Alameda,115,2020-07-04,Unhealthy for Sensitive Groups,PM2.5,202027,27,115
14339,California,Alameda,58,2020-07-12,Moderate,Ozone,202028,28,58
14340,California,Alameda,55,2020-07-13,Moderate,PM2.5,202029,29,55
14352,California,Alameda,42,2020-07-25,Good,Ozone,202030,30,42
14355,California,Alameda,55,2020-07-28,Moderate,PM2.5,202031,31,55
14365,California,Alameda,52,2020-08-07,Moderate,PM2.5,202032,32,52
14374,California,Alameda,71,2020-08-16,Moderate,Ozone,202033,33,71
14381,California,Alameda,174,2020-08-23,Unhealthy,PM2.5,202034,34,174
14382,California,Alameda,156,2020-08-24,Unhealthy,PM2.5,202035,35,156
14395,California,Alameda,166,2020-09-06,Unhealthy,Ozone,202036,36,166
14400,California,Alameda,218,2020-09-11,Very Unhealthy,PM2.5,202037,37,218
14403,California,Alameda,183,2020-09-14,Unhealthy,PM2.5,202038,38,183
14410,California,Alameda,66,2020-09-21,Moderate,PM2.5,202039,39,66
14421,California,Alameda,176,2020-10-02,Unhealthy,PM2.5,202040,40,176
14424,California,Alameda,100,2020-10-05,Moderate,Ozone,202041,41,100
14437,California,Alameda,61,2020-10-18,Moderate,Ozone,202042,42,61
14441,California,Alameda,54,2020-10-22,Moderate,PM2.5,202043,43,54
14449,California,Alameda,80,2020-10-30,Moderate,Ozone,202044,44,80
14450,California,Alameda,80,2020-10-31,Moderate,Ozone,202044,44,80
14452,California,Alameda,68,2020-11-02,Moderate,PM2.5,202045,45,68
14465,California,Alameda,55,2020-11-15,Moderate,PM2.5,202046,46,55
14472,California,Alameda,67,2020-11-22,Moderate,PM2.5,202047,47,67
14479,California,Alameda,83,2020-11-29,Moderate,PM2.5,202048,48,83
14484,California,Alameda,100,2020-12-04,Moderate,PM2.5,202049,49,100
14489,California,Alameda,72,2020-12-09,Moderate,PM2.5,202050,50,72
14500,California,Alameda,66,2020-12-20,Moderate,PM2.5,202051,51,66
14504,California,Alameda,82,2020-12-24,Moderate,PM2.5,202052,52,82
14511,California,Alameda,55,2020-12-31,Moderate,PM2.5,202053,53,55
14512,California,Amador,25,2020-01-01,Good,Ozone,202001,1,25
14518,California,Amador,28,2020-01-11,Good,Ozone,202002,2,28
14523,California,Amador,31,2020-01-16,Good,Ozone,202003,3,31
14528,California,Amador,32,2020-01-21,Good,Ozone,202004,4,32
14540,California,Amador,29,2020-02-02,Good,Ozone,202005,5,29
14546,California,Amador,38,2020-02-08,Good,Ozone,202006,6,38
14550,California,Amador,38,2020-02-12,Good,Ozone,202007,7,38
14558,California,Amador,39,2020-02-20,Good,Ozone,202008,8,39
14566,California,Amador,38,2020-02-28,Good,Ozone,202009,9,38
14571,California,Amador,42,2020-03-04,Good,Ozone,202010,10,42
14579,California,Amador,38,2020-03-12,Good,Ozone,202011,11,38
14583,California,Amador,35,2020-03-16,Good,Ozone,202012,12,35
14588,California,Amador,35,2020-03-21,Good,Ozone,202012,12,35
14594,California,Amador,39,2020-03-27,Good,Ozone,202013,13,39
14600,California,Amador,36,2020-04-02,Good,Ozone,202014,14,36
14605,California,Amador,34,2020-04-07,Good,Ozone,202015,15,34
14608,California,Amador,34,2020-04-10,Good,Ozone,202015,15,34
14612,California,Amador,44,2020-04-14,Good,Ozone,202016,16,44
14613,California,Amador,44,2020-04-15,Good,Ozone,202016,16,44
14621,California,Amador,44,2020-04-23,Good,Ozone,202017,17,44
