season,date_code,weekending,region,Influenza_Category,Count
2009-2010,200940,10/04/09,Bay Area,Influenza_A,56
2009-2010,200940,10/04/09,Bay Area,Influenza_AH3,0
2009-2010,200940,10/04/09,Bay Area,Influenza_AH1,0
2009-2010,200940,10/04/09,Bay Area,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,Bay Area,Influenza_ANotSubtyped,56
2009-2010,200940,10/04/09,Bay Area,Influenza_B,0
2009-2010,200940,10/04/09,Bay Area,Influenza_Total,56
2009-2010,200940,10/04/09,Bay Area,Influenza_Tested,227
2009-2010,200940,10/04/09,California,Influenza_A,614
2009-2010,200940,10/04/09,California,Influenza_AH3,0
2009-2010,200940,10/04/09,California,Influenza_AH1,0
2009-2010,200940,10/04/09,California,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,California,Influenza_ANotSubtyped,614
2009-2010,200940,10/04/09,California,Influenza_B,1
2009-2010,200940,10/04/09,California,Influenza_Total,615
2009-2010,200940,10/04/09,California,Influenza_Tested,1374
2009-2010,200940,10/04/09,Central,Influenza_A,192
2009-2010,200940,10/04/09,Central,Influenza_AH3,0
2009-2010,200940,10/04/09,Central,Influenza_AH1,0
2009-2010,200940,10/04/09,Central,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,Central,Influenza_ANotSubtyped,192
2009-2010,200940,10/04/09,Central,Influenza_B,1
2009-2010,200940,10/04/09,Central,Influenza_Total,193
2009-2010,200940,10/04/09,Central,Influenza_Tested,367
2009-2010,200940,10/04/09,Lower Southern,Influenza_A,195
2009-2010,200940,10/04/09,Lower Southern,Influenza_AH3,0
2009-2010,200940,10/04/09,Lower Southern,Influenza_AH1,0
2009-2010,200940,10/04/09,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,Lower Southern,Influenza_ANotSubtyped,195
2009-2010,200940,10/04/09,Lower Southern,Influenza_B,0
2009-2010,200940,10/04/09,Lower Southern,Influenza_Total,195
2009-2010,200940,10/04/09,Lower Southern,Influenza_Tested,476
2009-2010,200940,10/04/09,Northern,Influenza_A,53
2009-2010,200940,10/04/09,Northern,Influenza_AH3,0
2009-2010,200940,10/04/09,Northern,Influenza_AH1,0
2009-2010,200940,10/04/09,Northern,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,Northern,Influenza_ANotSubtyped,53
2009-2010,200940,10/04/09,Northern,Influenza_B,0
2009-2010,200940,10/04/09,Northern,Influenza_Total,53
2009-2010,200940,10/04/09,Northern,Influenza_Tested,111
2009-2010,200940,10/04/09,Upper Southern,Influenza_A,118
2009-2010,200940,10/04/09,Upper Southern,Influenza_AH3,0
2009-2010,200940,10/04/09,Upper Southern,Influenza_AH1,0
2009-2010,200940,10/04/09,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,Upper Southern,Influenza_ANotSubtyped,118
2009-2010,200940,10/04/09,Upper Southern,Influenza_B,0
2009-2010,200940,10/04/09,Upper Southern,Influenza_Total,118
2009-2010,200940,10/04/09,Upper Southern,Influenza_Tested,193
2009-2010,200941,10/11/09,Bay Area,Influenza_A,81
2009-2010,200941,10/11/09,Bay Area,Influenza_AH3,0
2009-2010,200941,10/11/09,Bay Area,Influenza_AH1,0
2009-2010,200941,10/11/09,Bay Area,Influenza_AH1pdm09,0
2009-2010,200941,10/11/09,Bay Area,Influenza_ANotSubtyped,81
2009-2010,200941,10/11/09,Bay Area,Influenza_B,0
2009-2010,200941,10/11/09,Bay Area,Influenza_Total,81
2009-2010,200941,10/11/09,Bay Area,Influenza_Tested,309
2009-2010,200941,10/11/09,California,Influenza_A,840
2009-2010,200941,10/11/09,California,Influenza_AH3,0
2009-2010,200941,10/11/09,California,Influenza_AH1,0
2009-2010,200941,10/11/09,California,Influenza_AH1pdm09,0
2009-2010,200941,10/11/09,California,Influenza_ANotSubtyped,840
2009-2010,200941,10/11/09,California,Influenza_B,0
2009-2010,200941,10/11/09,California,Influenza_Total,840
2009-2010,200941,10/11/09,California,Influenza_Tested,1729
2009-2010,200941,10/11/09,Central,Influenza_A,179
2009-2010,200941,10/11/09,Central,Influenza_AH3,0
2009-2010,200941,10/11/09,Central,Influenza_AH1,0
2009-2010,200941,10/11/09,Central,Influenza_AH1pdm09,0
2009-2010,200941,10/11/09,Central,Influenza_ANotSubtyped,179
2009-2010,200941,10/11/09,Central,Influenza_B,0
2009-2010,200941,10/11/09,Central,Influenza_Total,179
2009-2010,200941,10/11/09,Central,Influenza_Tested,291
2009-2010,200941,10/11/09,Lower Southern,Influenza_A,349
2009-2010,200941,10/11/09,Lower Southern,Influenza_AH3,0
2009-2010,200941,10/11/09,Lower Southern,Influenza_AH1,0
2009-2010,200941,10/11/09,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200941,10/11/09,Lower Southern,Influenza_ANotSubtyped,349
2009-2010,200941,10/11/09,Lower Southern,Influenza_B,0
2009-2010,200941,10/11/09,Lower Southern,Influenza_Total,349
2009-2010,200941,10/11/09,Lower Southern,Influenza_Tested,689
2009-2010,200941,10/11/09,Northern,Influenza_A,93
2009-2010,200941,10/11/09,Northern,Influenza_AH3,0
2009-2010,200941,10/11/09,Northern,Influenza_AH1,0
2009-2010,200941,10/11/09,Northern,Influenza_AH1pdm09,0
2009-2010,200941,10/11/09,Northern,Influenza_ANotSubtyped,93
