,DATE_CODE,NAME,REGION,INFLUENZA_POSTIVE_CASES,WEEKLY_MAX_AQI,CATEGORY,DEFINING_PARAMETER,STATE_NAME
0,202001,Alameda,Bay Area,120,74.0,Moderate,PM2.5,California
1,202001,Contra Costa,Bay Area,120,64.0,Moderate,PM2.5,California
2,202001,Marin,Bay Area,120,59.0,Moderate,PM2.5,California
3,202001,Napa,Bay Area,120,60.0,Moderate,PM2.5,California
4,202001,San Francisco,Bay Area,120,60.0,Moderate,PM2.5,California
5,202001,San Mateo,Bay Area,120,48.0,Good,PM2.5,California
6,202001,Santa Clara,Bay Area,120,62.0,Moderate,PM2.5,California
7,202001,Santa Cruz,Bay Area,120,165.0,Unhealthy,PM2.5,Arizona
8,202001,Solano,Bay Area,120,79.0,Moderate,PM2.5,California
9,202001,Sonoma,Bay Area,120,57.0,Moderate,PM2.5,California
10,202001,Calaveras,Central,42,63.0,Moderate,PM2.5,California
11,202001,Fresno,Central,42,130.0,Unhealthy for Sensitive Groups,PM2.5,California
12,202001,Inyo,Central,42,41.0,Good,Ozone,California
13,202001,Kings,Central,42,92.0,Moderate,PM2.5,California
14,202001,Madera,Central,42,78.0,Moderate,PM2.5,California
15,202001,Mariposa,Central,42,127.0,Unhealthy for Sensitive Groups,PM2.5,California
16,202001,Merced,Central,42,85.0,Moderate,PM2.5,California
17,202001,Mono,Central,42,80.0,Moderate,PM2.5,California
18,202001,Monterey,Central,42,44.0,Good,PM2.5,California
19,202001,San Benito,Central,42,34.0,Good,Ozone,California
20,202001,San Joaquin,Central,42,97.0,Moderate,PM2.5,California
21,202001,Stanislaus,Central,42,90.0,Moderate,PM2.5,California
22,202001,Tulare,Central,42,111.0,Unhealthy for Sensitive Groups,PM2.5,California
23,202001,Tuolumne,Central,42,32.0,Good,Ozone,California
24,202001,Imperial,Lower Southern,136,75.0,Moderate,PM2.5,California
25,202001,Orange,Lower Southern,136,87.0,Moderate,PM2.5,California
26,202001,Riverside,Lower Southern,136,94.0,Moderate,PM2.5,California
27,202001,San Bernardino,Lower Southern,136,94.0,Moderate,PM2.5,California
28,202001,San Diego,Lower Southern,136,81.0,Moderate,PM2.5,California
29,202001,Amador,Northern,37,25.0,Good,Ozone,California
30,202001,Butte,Northern,37,83.0,Moderate,PM2.5,California
31,202001,Carson City,Northern,37,43.0,Good,Ozone,Nevada
32,202001,Churchill,Northern,37,43.0,Good,Ozone,Nevada
33,202001,Clark,Northern,37,157.0,Unhealthy,PM2.5,Nevada
34,202001,Colusa,Northern,37,78.0,Moderate,PM2.5,California
35,202001,Del Norte,Northern,37,41.0,Good,PM2.5,California
36,202001,Douglas,Northern,37,43.0,Good,Ozone,Colorado
37,202001,El Dorado,Northern,37,32.0,Good,Ozone,California
38,202001,Elko,Northern,37,11.0,Good,PM10,Nevada
39,202001,Glenn,Northern,37,66.0,Moderate,PM2.5,California
40,202001,Humboldt,Northern,37,37.0,Good,Ozone,California
41,202001,Humboldt,Northern,37,37.0,Good,Ozone,California
42,202001,Humboldt,Northern,37,37.0,Good,Ozone,California
43,202001,Humboldt,Northern,37,37.0,Good,Ozone,California
44,202001,Lake,Northern,37,56.0,Moderate,PM2.5,Indiana
45,202001,Lake,Northern,37,56.0,Moderate,PM2.5,Indiana
46,202001,Lake,Northern,37,56.0,Moderate,PM2.5,Indiana
47,202001,Lake,Northern,37,56.0,Moderate,PM2.5,Indiana
48,202001,Lincoln,Northern,37,73.0,Moderate,PM2.5,Montana
49,202001,Lyon,Northern,37,40.0,Good,PM2.5,Minnesota
50,202001,Mendocino,Northern,37,55.0,Moderate,PM2.5,California
51,202001,Nevada,Northern,37,48.0,Good,PM2.5,California
52,202001,Nye,Northern,37,13.0,Good,PM10,Nevada
53,202001,Placer,Northern,37,74.0,Moderate,PM2.5,California
54,202001,Plumas,Northern,37,94.0,Moderate,PM2.5,California
55,202001,Sacramento,Northern,37,89.0,Moderate,PM2.5,California
56,202001,Shasta,Northern,37,84.0,Moderate,PM2.5,California
57,202001,Siskiyou,Northern,37,55.0,Moderate,PM2.5,California
58,202001,Sutter,Northern,37,95.0,Moderate,PM2.5,California
59,202001,Tehama,Northern,37,83.0,Moderate,PM2.5,California
60,202001,Trinity,Northern,37,56.0,Moderate,PM2.5,California
61,202001,Washoe,Northern,37,55.0,Moderate,PM2.5,Nevada
62,202001,White Pine,Northern,37,44.0,Good,Ozone,Nevada
63,202001,Yolo,Northern,37,80.0,Moderate,PM2.5,California
64,202001,Kern,Upper Southern,102,106.0,Unhealthy for Sensitive Groups,PM2.5,California
65,202001,Los Angeles,Upper Southern,102,104.0,Unhealthy for Sensitive Groups,PM2.5,California
66,202001,San Luis Obispo,Upper Southern,102,53.0,Moderate,PM2.5,California
67,202001,Santa Barbara,Upper Southern,102,45.0,Good,PM2.5,California
68,202001,Ventura,Upper Southern,102,45.0,Good,PM2.5,California
69,202002,Alameda,Bay Area,150,49.0,Good,PM2.5,California
70,202002,Contra Costa,Bay Area,150,38.0,Good,PM2.5,California
71,202002,Marin,Bay Area,150,32.0,Good,PM2.5,California
72,202002,Napa,Bay Area,150,32.0,Good,PM2.5,California
73,202002,San Francisco,Bay Area,150,34.0,Good,Ozone,California
74,202002,San Mateo,Bay Area,150,33.0,Good,Ozone,California
75,202002,Santa Clara,Bay Area,150,43.0,Good,PM2.5,California
76,202002,Santa Cruz,Bay Area,150,87.0,Moderate,PM2.5,Arizona
77,202002,Solano,Bay Area,150,45.0,Good,PM2.5,California
78,202002,Sonoma,Bay Area,150,33.0,Good,Ozone,California
79,202002,Calaveras,Central,27,57.0,Moderate,PM2.5,California
80,202002,Fresno,Central,27,75.0,Moderate,PM2.5,California
81,202002,Inyo,Central,27,41.0,Good,Ozone,California
82,202002,Kings,Central,27,66.0,Moderate,PM2.5,California
83,202002,Madera,Central,27,60.0,Moderate,PM2.5,California
84,202002,Mariposa,Central,27,56.0,Moderate,PM2.5,California
85,202002,Merced,Central,27,70.0,Moderate,PM2.5,California
86,202002,Mono,Central,27,80.0,Moderate,PM2.5,California
87,202002,Monterey,Central,27,33.0,Good,Ozone,California
88,202002,San Benito,Central,27,35.0,Good,Ozone,California
