,Week Number,Date,region,Influenza Positive Cases
18320,201701,2017-01-01,Bay Area,307
18330,201701,2017-01-01,California,670
18340,201701,2017-01-01,Central,43
18350,201701,2017-01-01,Lower Southern,175
18360,201701,2017-01-01,Northern,41
18370,201701,2017-01-01,Upper Southern,104
18380,201702,2017-01-08,Bay Area,282
18390,201702,2017-01-08,California,619
18400,201702,2017-01-08,Central,45
18410,201702,2017-01-08,Lower Southern,153
18420,201702,2017-01-08,Northern,39
18430,201702,2017-01-08,Upper Southern,100
18440,201703,2017-01-15,Bay Area,169
18450,201703,2017-01-15,California,493
18460,201703,2017-01-15,Central,56
18470,201703,2017-01-15,Lower Southern,119
18480,201703,2017-01-15,Northern,25
18490,201703,2017-01-15,Upper Southern,124
18500,201704,2017-01-22,Bay Area,165
18510,201704,2017-01-22,California,452
18520,201704,2017-01-22,Central,98
18530,201704,2017-01-22,Lower Southern,88
18540,201704,2017-01-22,Northern,14
18550,201704,2017-01-22,Upper Southern,87
18560,201705,2017-01-29,Bay Area,83
18570,201705,2017-01-29,California,335
18580,201705,2017-01-29,Central,35
18590,201705,2017-01-29,Lower Southern,121
18600,201705,2017-01-29,Northern,13
18610,201705,2017-01-29,Upper Southern,83
18620,201706,2017-02-05,Bay Area,88
18630,201706,2017-02-05,California,383
18640,201706,2017-02-05,Central,50
18650,201706,2017-02-05,Lower Southern,138
18660,201706,2017-02-05,Northern,12
18670,201706,2017-02-05,Upper Southern,95
18680,201707,2017-02-12,Bay Area,42
18690,201707,2017-02-12,California,231
18700,201707,2017-02-12,Central,26
18710,201707,2017-02-12,Lower Southern,107
18720,201707,2017-02-12,Northern,5
18730,201707,2017-02-12,Upper Southern,51
18740,201708,2017-02-19,Bay Area,33
18750,201708,2017-02-19,California,159
18760,201708,2017-02-19,Central,17
18770,201708,2017-02-19,Lower Southern,69
18780,201708,2017-02-19,Northern,3
18790,201708,2017-02-19,Upper Southern,37
18800,201709,2017-02-26,Bay Area,23
18810,201709,2017-02-26,California,128
18820,201709,2017-02-26,Central,21
18830,201709,2017-02-26,Lower Southern,52
18840,201709,2017-02-26,Northern,6
18850,201709,2017-02-26,Upper Southern,26
18860,201710,2017-03-05,Bay Area,28
18870,201710,2017-03-05,California,100
18880,201710,2017-03-05,Central,20
18890,201710,2017-03-05,Lower Southern,39
18900,201710,2017-03-05,Northern,3
18910,201710,2017-03-05,Upper Southern,10
18920,201711,2017-03-12,Bay Area,23
18930,201711,2017-03-12,California,90
18940,201711,2017-03-12,Central,11
18950,201711,2017-03-12,Lower Southern,23
18960,201711,2017-03-12,Northern,1
18970,201711,2017-03-12,Upper Southern,32
18980,201712,2017-03-19,Bay Area,6
18990,201712,2017-03-19,California,32
19000,201712,2017-03-19,Central,10
19010,201712,2017-03-19,Lower Southern,13
19020,201712,2017-03-19,Northern,1
19030,201712,2017-03-19,Upper Southern,2
19040,201713,2017-03-26,Bay Area,7
19050,201713,2017-03-26,California,21
19060,201713,2017-03-26,Central,1
19070,201713,2017-03-26,Lower Southern,10
19080,201713,2017-03-26,Northern,0
19090,201713,2017-03-26,Upper Southern,3
19100,201714,2017-04-02,Bay Area,3
19110,201714,2017-04-02,California,11
19120,201714,2017-04-02,Central,1
19130,201714,2017-04-02,Lower Southern,6
19140,201714,2017-04-02,Northern,1
19150,201714,2017-04-02,Upper Southern,0
19160,201715,2017-04-09,Bay Area,4
19170,201715,2017-04-09,California,19
19180,201715,2017-04-09,Central,0
19190,201715,2017-04-09,Lower Southern,8
19200,201715,2017-04-09,Northern,1
19210,201715,2017-04-09,Upper Southern,6
19220,201716,2017-04-16,Bay Area,7
19230,201716,2017-04-16,California,18
19240,201716,2017-04-16,Central,2
19250,201716,2017-04-16,Lower Southern,8
19260,201716,2017-04-16,Northern,0
19270,201716,2017-04-16,Upper Southern,1
19280,201717,2017-04-23,Bay Area,5
19290,201717,2017-04-23,California,15
19300,201717,2017-04-23,Central,1
19310,201717,2017-04-23,Lower Southern,5
19320,201717,2017-04-23,Northern,1
19330,201717,2017-04-23,Upper Southern,3
19340,201718,2017-04-30,Bay Area,3
19350,201718,2017-04-30,California,11
19360,201718,2017-04-30,Central,1
19370,201718,2017-04-30,Lower Southern,6
19380,201718,2017-04-30,Northern,0
