,DATE_CODE,NAME,REGION,INFLUENZA_POSTIVE_CASES,WEEKLY_MAX_AQI,CATEGORY,DEFINING_PARAMETER,STATE_NAME
0,201701,Alameda,Bay Area,307.0,40.0,Good,NO2,California
57,201701,Siskiyou,Northern,41.0,66.0,Moderate,PM2.5,California
56,201701,Shasta,Northern,41.0,45.0,Good,Ozone,California
55,201701,Sacramento,Northern,41.0,56.0,Moderate,PM2.5,California
54,201701,Plumas,Northern,41.0,86.0,Moderate,PM2.5,California
53,201701,Placer,Northern,41.0,39.0,Good,Ozone,California
52,201701,Nye,Northern,41.0,15.0,Good,PM10,Nevada
51,201701,Nevada,Northern,41.0,46.0,Good,Ozone,California
58,201701,Sutter,Northern,41.0,34.0,Good,PM2.5,California
50,201701,Mendocino,Northern,41.0,56.0,Moderate,PM2.5,California
48,201701,Lincoln,Northern,41.0,83.0,Moderate,PM2.5,Montana
47,201701,Lake,Northern,41.0,146.0,Unhealthy for Sensitive Groups,PM2.5,Oregon
46,201701,Lake,Northern,41.0,146.0,Unhealthy for Sensitive Groups,PM2.5,Oregon
45,201701,Lake,Northern,41.0,146.0,Unhealthy for Sensitive Groups,PM2.5,Oregon
44,201701,Lake,Northern,41.0,146.0,Unhealthy for Sensitive Groups,PM2.5,Oregon
43,201701,Humboldt,Northern,41.0,52.0,Moderate,PM2.5,California
42,201701,Humboldt,Northern,41.0,52.0,Moderate,PM2.5,California
49,201701,Lyon,Northern,41.0,52.0,Moderate,PM2.5,Minnesota
59,201701,Tehama,Northern,41.0,32.0,Good,Ozone,California
60,201701,Trinity,Northern,41.0,95.0,Moderate,PM2.5,California
61,201701,Washoe,Northern,41.0,51.0,Moderate,PM2.5,Nevada
3640,201701,Modoc,Northern,,,,,
3692,201701,Sierra,Northern,,,,,
3744,201701,Alpine,Northern,,,,,
3796,201701,Yuba,Northern,,,,,
3848,201701,Esmeralda,Northern,,,,,
3900,201701,Eureka,Northern,,,,,
3952,201701,Lander,Northern,,,,,
4004,201701,Mineral,Northern,,,,,
4056,201701,Pershing,Northern,,,,,
4108,201701,Storey,Northern,,,,,
68,201701,Ventura,Upper Southern,104.0,48.0,Good,PM2.5,California
67,201701,Santa Barbara,Upper Southern,104.0,264.0,Very Unhealthy,PM10,California
66,201701,San Luis Obispo,Upper Southern,104.0,40.0,Good,PM2.5,California
65,201701,Los Angeles,Upper Southern,104.0,82.0,Moderate,PM2.5,California
64,201701,Kern,Upper Southern,104.0,62.0,Moderate,PM2.5,California
63,201701,Yolo,Northern,41.0,36.0,Good,PM2.5,California
62,201701,White Pine,Northern,41.0,41.0,Good,Ozone,Nevada
41,201701,Humboldt,Northern,41.0,52.0,Moderate,PM2.5,California
40,201701,Humboldt,Northern,41.0,52.0,Moderate,PM2.5,California
3588,201701,Lassen,Northern,,,,,
38,201701,Elko,Northern,41.0,9.0,Good,PM10,Nevada
16,201701,Merced,Central,43.0,62.0,Moderate,PM2.5,California
15,201701,Mariposa,Central,43.0,74.0,Moderate,Ozone,California
14,201701,Madera,Central,43.0,65.0,Moderate,PM2.5,California
13,201701,Kings,Central,43.0,70.0,Moderate,PM2.5,California
12,201701,Inyo,Central,43.0,52.0,Moderate,PM10,California
10,201701,Calaveras,Central,43.0,58.0,Moderate,PM2.5,California
9,201701,Sonoma,Bay Area,307.0,41.0,Good,PM2.5,California
17,201701,Mono,Central,43.0,1977.0,Hazardous,PM10,California
8,201701,Solano,Bay Area,307.0,46.0,Good,PM2.5,California
6,201701,Santa Clara,Bay Area,307.0,43.0,Good,PM2.5,California
5,201701,San Mateo,Bay Area,307.0,32.0,Good,NO2,California
4,201701,San Francisco,Bay Area,307.0,35.0,Good,Ozone,California
3,201701,Napa,Bay Area,307.0,57.0,Moderate,PM2.5,California
39,201701,Glenn,Northern,41.0,37.0,Good,Ozone,California
2,201701,Marin,Bay Area,307.0,36.0,Good,Ozone,California
1,201701,Contra Costa,Bay Area,307.0,47.0,Good,PM2.5,California
7,201701,Santa Cruz,Bay Area,307.0,92.0,Moderate,PM2.5,Arizona
18,201701,Monterey,Central,43.0,33.0,Good,Ozone,California
11,201701,Fresno,Central,43.0,73.0,Moderate,PM2.5,California
20,201701,San Joaquin,Central,43.0,54.0,Moderate,PM2.5,California
37,201701,El Dorado,Northern,41.0,18.0,Good,PM10,California
36,201701,Douglas,Northern,41.0,128.0,Unhealthy for Sensitive Groups,PM2.5,Nevada
35,201701,Del Norte,Northern,41.0,40.0,Good,PM2.5,California
34,201701,Colusa,Northern,41.0,34.0,Good,Ozone,California
33,201701,Clark,Northern,41.0,68.0,Moderate,PM2.5,Washington
32,201701,Churchill,Northern,41.0,38.0,Good,Ozone,Nevada
19,201701,San Benito,Central,43.0,34.0,Good,Ozone,California
30,201701,Butte,Northern,41.0,43.0,Good,PM2.5,California
29,201701,Amador,Northern,41.0,34.0,Good,Ozone,California
28,201701,San Diego,Lower Southern,175.0,67.0,Moderate,PM2.5,California
31,201701,Carson City,Northern,41.0,42.0,Good,Ozone,Nevada
24,201701,Imperial,Lower Southern,175.0,90.0,Moderate,PM2.5,California
27,201701,San Bernardino,Lower Southern,175.0,74.0,Moderate,PM2.5,California
21,201701,Stanislaus,Central,43.0,49.0,Good,PM2.5,California
26,201701,Riverside,Lower Southern,175.0,71.0,Moderate,PM2.5,California
25,201701,Orange,Lower Southern,175.0,61.0,Moderate,PM2.5,California
22,201701,Tulare,Central,43.0,64.0,Moderate,PM2.5,California
23,201701,Tuolumne,Central,43.0,41.0,Good,Ozone,California
130,201702,Washoe,Northern,39.0,44.0,Good,Ozone,Nevada
129,201702,Trinity,Northern,39.0,86.0,Moderate,PM2.5,California
128,201702,Tehama,Northern,39.0,38.0,Good,PM2.5,California
127,201702,Sutter,Northern,39.0,77.0,Moderate,PM2.5,California
126,201702,Siskiyou,Northern,39.0,31.0,Good,Ozone,California
125,201702,Shasta,Northern,39.0,48.0,Good,Ozone,California
119,201702,Mendocino,Northern,39.0,53.0,Moderate,PM2.5,California
124,201702,Sacramento,Northern,39.0,90.0,Moderate,PM2.5,California
123,201702,Plumas,Northern,39.0,71.0,Moderate,PM2.5,California
122,201702,Placer,Northern,39.0,67.0,Moderate,PM2.5,California
131,201702,White Pine,Northern,39.0,43.0,Good,Ozone,Nevada
121,201702,Nye,Northern,39.0,11.0,Good,PM10,Nevada
117,201702,Lincoln,Northern,39.0,95.0,Moderate,PM2.5,Montana
120,201702,Nevada,Northern,39.0,44.0,Good,Ozone,California
118,201702,Lyon,Northern,39.0,58.0,Moderate,PM2.5,Minnesota
132,201702,Yolo,Northern,39.0,60.0,Moderate,PM2.5,California
3901,201702,Eureka,Northern,,,,,
134,201702,Los Angeles,Upper Southern,100.0,72.0,Moderate,PM2.5,California
4109,201702,Storey,Northern,,,,,
4057,201702,Pershing,Northern,,,,,
4005,201702,Mineral,Northern,,,,,
3953,201702,Lander,Northern,,,,,
116,201702,Lake,Northern,39.0,108.0,Unhealthy for Sensitive Groups,PM2.5,Oregon
3849,201702,Esmeralda,Northern,,,,,
133,201702,Kern,Upper Southern,100.0,61.0,Moderate,PM2.5,California
3797,201702,Yuba,Northern,,,,,
3693,201702,Sierra,Northern,,,,,
3589,201702,Lassen,Northern,,,,,
3641,201702,Modoc,Northern,,,,,
137,201702,Ventura,Upper Southern,100.0,45.0,Good,PM2.5,California
136,201702,Santa Barbara,Upper Southern,100.0,40.0,Good,Ozone,California
135,201702,San Luis Obispo,Upper Southern,100.0,51.0,Moderate,PM2.5,California
3745,201702,Alpine,Northern,,,,,
115,201702,Lake,Northern,39.0,108.0,Unhealthy for Sensitive Groups,PM2.5,Oregon
114,201702,Lake,Northern,39.0,108.0,Unhealthy for Sensitive Groups,PM2.5,Oregon
113,201702,Lake,Northern,39.0,108.0,Unhealthy for Sensitive Groups,PM2.5,Oregon
88,201702,San Benito,Central,45.0,38.0,Good,Ozone,California
87,201702,Monterey,Central,45.0,39.0,Good,Ozone,California
85,201702,Merced,Central,45.0,56.0,Moderate,PM2.5,California
84,201702,Mariposa,Central,45.0,50.0,Good,PM2.5,California
83,201702,Madera,Central,45.0,55.0,Moderate,PM2.5,California
82,201702,Kings,Central,45.0,61.0,Moderate,PM2.5,California
81,201702,Inyo,Central,45.0,78.0,Moderate,PM10,California
80,201702,Fresno,Central,45.0,66.0,Moderate,PM2.5,California
79,201702,Calaveras,Central,45.0,62.0,Moderate,PM2.5,California
78,201702,Sonoma,Bay Area,282.0,54.0,Moderate,PM2.5,California
77,201702,Solano,Bay Area,282.0,62.0,Moderate,PM2.5,California
76,201702,Santa Cruz,Bay Area,282.0,63.0,Moderate,PM2.5,Arizona
75,201702,Santa Clara,Bay Area,282.0,62.0,Moderate,PM2.5,California
74,201702,San Mateo,Bay Area,282.0,49.0,Good,PM2.5,California
73,201702,San Francisco,Bay Area,282.0,57.0,Moderate,PM2.5,California
72,201702,Napa,Bay Area,282.0,75.0,Moderate,PM2.5,California
71,201702,Marin,Bay Area,282.0,56.0,Moderate,PM2.5,California
70,201702,Contra Costa,Bay Area,282.0,64.0,Moderate,PM2.5,California
69,201702,Alameda,Bay Area,282.0,68.0,Moderate,PM2.5,California
89,201702,San Joaquin,Central,45.0,71.0,Moderate,PM2.5,California
90,201702,Stanislaus,Central,45.0,68.0,Moderate,PM2.5,California
86,201702,Mono,Central,45.0,58.0,Moderate,PM10,California
92,201702,Tuolumne,Central,45.0,42.0,Good,Ozone,California
